ldraw_code,ldraw_name,lego_id,lego_name,hex,edge,material_class,source_status
0,Black,26,Black,#1B2A34,#808080,solid,official_ldconfig
1,Blue,23,Bright Blue,#1E5AA8,#333333,solid,official_ldconfig
2,Green,28,Dark Green,#00852B,#333333,solid,official_ldconfig
3,Dark_Turquoise,107,Bright Bluish Green,#069D9F,#333333,solid,official_ldconfig
4,Red,21,Bright Red,#B40000,#333333,solid,official_ldconfig
5,Dark_Pink,"22 / 221","Medium Reddish Violet / Bright Purple",#D3359D,#333333,solid,official_ldconfig
6,Brown,25,Earth Orange,#543324,#1E1E1E,solid,official_ldconfig
7,Light_Grey,2,Grey,#8A928D,#333333,solid,official_ldconfig
8,Dark_Grey,27,Dark Grey,#545955,#333333,solid,official_ldconfig
9,Light_Blue,45,Light Blue,#97CBD9,#333333,solid,official_ldconfig
10,Bright_Green,37,Bright Green,#58AB41,#333333,solid,official_ldconfig
11,Light_Turquoise,116,Medium Bluish Green,#00AAA4,#333333,solid,official_ldconfig
12,Salmon,101,Medium Red,#F06D61,#333333,solid,official_ldconfig
13,Pink,9,Light Reddish Violet,#F6A9BB,#333333,solid,official_ldconfig
14,Yellow,24,Bright Yellow,#FAC80A,#333333,solid,official_ldconfig
15,White,1,White,#F4F4F4,#333333,solid,official_ldconfig
17,Light_Green,6,Light Green,#ADD9A8,#333333,solid,official_ldconfig
18,Light_Yellow,3,Light Yellow,#FFD67F,#333333,solid,official_ldconfig
19,Tan,5,Brick Yellow,#D7BA8C,#333333,solid,official_ldconfig
20,Light_Violet,39,Light Bluish Violet,#AFBED6,#333333,solid,official_ldconfig
22,Purple,104,Bright Violet,#671F81,#333333,solid,official_ldconfig
23,Dark_Blue_Violet,196,Dark Royal Blue,#0E3E9A,#333333,solid,official_ldconfig
25,Orange,106,Bright Orange,#D67923,#333333,solid,official_ldconfig
26,Magenta,124,Bright Reddish Violet,#901F76,#333333,solid,official_ldconfig
27,Lime,119,Bright Yellowish Green,#A5CA18,#333333,solid,official_ldconfig
28,Dark_Tan,138,Sand Yellow,#897D62,#333333,solid,official_ldconfig
29,Bright_Pink,222,Light Purple,#FF9ECD,#333333,solid,official_ldconfig
30,Medium_Lavender,324,Medium Lavender,#A06EB9,#333333,solid,official_ldconfig
31,Lavender,325,Lavender,#CDA4DE,#333333,solid,official_ldconfig
68,Very_Light_Orange,36,Light Yellowish Orange,#FDC383,#333333,solid,official_ldconfig
69,Bright_Reddish_Lilac,198,Bright Reddish Lilac,#8A12A8,#333333,solid,official_ldconfig
70,Reddish_Brown,192,Reddish Brown,#5F3109,#808080,solid,official_ldconfig
71,Light_Bluish_Grey,194,Medium Stone Grey,#969696,#333333,solid,official_ldconfig
72,Dark_Bluish_Grey,199,Dark Stone Grey,#646464,#333333,solid,official_ldconfig
73,Medium_Blue,102,Medium Blue,#7396C8,#333333,solid,official_ldconfig
74,Medium_Green,29,Medium Green,#7FC475,#333333,solid,official_ldconfig
77,Light_Pink,223,Light Pink,#FECCCF,#333333,solid,official_ldconfig
78,Light_Nougat,283,Light Nougat,#FFC995,#333333,solid,official_ldconfig
84,Medium_Nougat,312,Medium Nougat,#AA7D55,#333333,solid,official_ldconfig
85,Medium_Lilac,268,Medium Lilac,#441A91,#333333,solid,official_ldconfig
86,Light_Brown,217,Brown,#7B5D41,#333333,solid,official_ldconfig
89,Blue_Violet,195,Medium Royal Blue,#1C58A7,#333333,solid,official_ldconfig
92,Nougat,18,Nougat,#BB805A,#333333,solid,official_ldconfig
100,Light_Salmon,100,Light Red,#F9B7A5,#333333,solid,official_ldconfig
110,Violet,110,Bright Bluish Violet,#26469A,#333333,solid,official_ldconfig
112,Medium_Violet,112,Medium Bluish Violet,#4861AC,#333333,solid,official_ldconfig
115,Medium_Lime,115,Medium Yellowish Green,#B7D425,#333333,solid,official_ldconfig
118,Aqua,118,Light Bluish Green,#9CD6CC,#333333,solid,official_ldconfig
120,Light_Lime,120,Light Yellowish Green,#DEEA92,#333333,solid,official_ldconfig
125,Light_Orange,125,Light Orange,#F9A777,#333333,solid,official_ldconfig
128,Dark_Nougat,128,Dark Nougat,#AD6140,#333333,solid,official_ldconfig
151,Very_Light_Bluish_Grey,208,Light Stone Grey,#C8C8C8,#333333,solid,official_ldconfig
191,Bright_Light_Orange,191,Flame Yellowish Orange,#FCAC00,#333333,solid,official_ldconfig
212,Bright_Light_Blue,212,Light Royal Blue,#9DC3F7,#333333,solid,official_ldconfig
216,Rust,216,Rust,#872B17,#333333,solid,official_ldconfig
218,Reddish_Lilac,218,Reddish Lilac,#8E5597,#333333,solid,official_ldconfig
219,Lilac,219,Lilac,#564E9D,#333333,solid,official_ldconfig
226,Bright_Light_Yellow,226,Cool Yellow,#FFEC6C,#333333,solid,official_ldconfig
232,Sky_Blue,232,Dove Blue,#77C9D8,#333333,solid,official_ldconfig
272,Dark_Blue,140,Earth Blue,#19325A,#333333,solid,official_ldconfig
288,Dark_Green,141,Earth Green,#00451A,#808080,solid,official_ldconfig
